person,seed,controller,scenario,relapsed,relapse_day,success,zero_day,mean_excess_w,peak_week_excess_w,puffs_ratio_first12w,dose_per_day_first12w,pred_err_first2w,pred_err_weeks7to10,pred_err_last4w
Marta,0,flat,stable,0,,1,161,-0.03161420298480214,0.03606061662998444,0.9172072521623419,0.4930453695569418,nan,nan,nan
Marta,1,flat,stable,1,31,0,,0.02378281023858396,0.03176879747253815,1.0364255765199162,0.8306908411740062,nan,nan,nan
Marta,2,flat,stable,0,,1,161,-0.016295486967545143,0.03538148907813786,0.9989528319067565,0.5394658523894071,nan,nan,nan
Marta,0,flat,routine_change,0,,1,161,-0.021530362615587065,0.05068936848292344,1.0148037258815703,0.5257730167354859,nan,nan,nan
Marta,1,flat,routine_change,1,31,0,,0.02378281023858396,0.03176879747253815,1.0364255765199162,0.8306908411740062,nan,nan,nan
Marta,2,flat,routine_change,0,,1,161,-0.006742395230614277,0.06777699513780817,1.0947004188672373,0.572583015369235,nan,nan,nan
Marta,0,flat,model_mismatch,0,,1,161,-0.030631615772104548,0.02976355692931539,0.9158197267577475,0.49159745880853856,nan,nan,nan
Marta,1,flat,model_mismatch,1,31,0,,0.01913246156602794,0.026726449404437174,1.0475070348223707,0.8407578035033434,nan,nan,nan
Marta,2,flat,model_mismatch,0,,1,161,-0.010345766736619633,0.03954840219590082,1.00284874104025,0.5451309861437499,nan,nan,nan
Marta,0,codex_rules,stable,1,7,0,,0.33084297694362375,0.3410993387566564,0.9968188622754491,0.22549870351111836,nan,nan,nan
Marta,1,codex_rules,stable,1,6,0,,0.34168172950944514,0.34168172950944514,1.1425576519916143,0.25415874372767144,nan,nan,nan
Marta,2,codex_rules,stable,0,,1,161,-0.03453056760759741,0.33159711107705814,1.0076488799854306,0.13172757894031245,nan,nan,nan
Marta,0,codex_rules,routine_change,1,7,0,,0.33084297694362375,0.3410993387566564,0.9968188622754491,0.22549870351111836,nan,nan,nan
Marta,1,codex_rules,routine_change,1,6,0,,0.34168172950944514,0.34168172950944514,1.1425576519916143,0.25415874372767144,nan,nan,nan
Marta,2,codex_rules,routine_change,0,,1,161,-0.03330812225618785,0.33159711107705814,1.1259333454744127,0.1370546161035751,nan,nan,nan
Marta,0,codex_rules,model_mismatch,1,7,0,,0.33907317714271057,0.34681666494567975,0.9997917360879707,0.22646152281754603,nan,nan,nan
Marta,1,codex_rules,model_mismatch,1,4,0,,0.3728571971438933,0.3728571971438933,1.2091804431938094,0.2668742017963813,nan,nan,nan
Marta,2,codex_rules,model_mismatch,1,12,0,,0.27767031368588857,0.32817260452429936,1.1908303055151062,0.25237486644853246,nan,nan,nan
Marta,0,habit_only,stable,0,,1,161,-0.035582102340519096,0.05107665453986814,0.9008233532934132,0.49004158351206023,nan,nan,nan
Marta,1,habit_only,stable,0,,1,161,-0.013296351865689787,0.04610611157492819,1.0006551362683438,0.5163717019713847,nan,nan,nan
Marta,2,habit_only,stable,0,,1,161,-0.027489674236390687,0.026296981101011918,0.9775086505190311,0.5063835037986298,nan,nan,nan
Marta,0,habit_only,routine_change,0,,1,161,-0.040499741840357845,0.05107665453986814,0.9937624750499002,0.49438693337560125,nan,nan,nan
Marta,1,habit_only,routine_change,0,,1,161,-0.01720559674138915,0.04610611157492819,1.0728511530398324,0.5188266589783922,nan,nan,nan
Marta,2,habit_only,routine_change,0,,1,161,-0.030722571948028493,0.026296981101011918,1.0854124931706428,0.5102375855745486,nan,nan,nan
Marta,0,habit_only,model_mismatch,0,,1,161,-0.034736530874436455,0.03858791589648786,0.911987670776408,0.4904678181301199,nan,nan,nan
Marta,1,habit_only,model_mismatch,0,,1,161,-0.015525571703594138,0.048492038772249384,1.0094970102004923,0.5180507162696262,nan,nan,nan
Marta,2,habit_only,model_mismatch,0,,1,161,-0.021797538083930874,0.026337774796541452,1.0021135820621212,0.5136438439707164,nan,nan,nan
Marta,0,nn_frozen,stable,0,,1,161,-0.03379264886129759,0.06016789297385674,0.9002827677977379,0.48620078868222144,0.3752341491676033,0.29027161443330657,0.3467165690900423
Marta,1,nn_frozen,stable,1,101,0,,0.017302807830060874,0.04730488740407598,1.001004542278127,0.5145840121767896,0.2857568397234432,0.3024291231602027,0.3062093193458983
Marta,2,nn_frozen,stable,0,,1,161,-0.02521965514656201,0.03482303214886391,0.9775997086140957,0.5083641965660672,0.37908009685449967,0.250106581966037,0.33946138639699275
Marta,0,nn_frozen,routine_change,0,,1,161,-0.03957450772039085,0.06016789297385674,0.9929723885562209,0.4888514895063735,0.3752341491676033,0.3319541705493515,0.3628745573331402
Marta,1,nn_frozen,routine_change,0,,1,161,-0.014741958081006064,0.04730488740407598,1.0733315863032844,0.5159349592082001,0.2857568397234432,0.3863072234609063,0.36010680629678227
Marta,2,nn_frozen,routine_change,0,,1,161,-0.02943859982827149,0.03482303214886391,1.0911036241121834,0.5114850976005438,0.37908009685449967,0.38446116758302773,0.3183518257984125
Marta,0,nn_frozen,model_mismatch,0,,1,161,-0.033738264012539966,0.049464143923025165,0.9154865044985007,0.48428731169061484,0.4182806036858504,0.30817592250409576,0.3524719477782998
Marta,1,nn_frozen,model_mismatch,1,101,0,,0.013026014197964448,0.0425106522289587,1.0095849454801264,0.514452541467214,0.2520821255777976,0.30482342573787147,0.3118366688194444
Marta,2,nn_frozen,model_mismatch,0,,1,161,-0.018553223701711793,0.034969054958943396,0.9882834037860687,0.5148060155642797,0.41682142040477693,0.2581495929325321,0.3631929470909622
Marta,0,nn_adaptive,stable,0,,1,161,-0.037080159176644714,0.04739208809321059,0.9011144377910846,0.4984293922860332,0.3052776390332003,0.26450205676628574,0.3206336819563334
Marta,1,nn_adaptive,stable,0,,1,161,-0.014059223354857124,0.04041315459827643,0.9952393431167016,0.5157650458202473,0.2849135254310294,0.31373410116847605,0.28874812800344474
Marta,2,nn_adaptive,stable,0,,1,161,-0.02231539158367244,0.04038151755920478,0.9892551447823712,0.5082816605995081,0.36285002019573015,0.25354911651022427,0.3248293133419935
Marta,0,nn_adaptive,routine_change,0,,1,161,-0.03989550527559782,0.04739208809321059,0.9918912175648703,0.4995079230269169,0.3052776390332003,0.32040653094818344,0.30167681176534816
Marta,1,nn_adaptive,routine_change,0,,1,161,-0.015904752973955917,0.04041315459827643,1.0729821802935011,0.5167012397097586,0.2849135254310294,0.3136892909764634,0.28699625708057797
Marta,2,nn_adaptive,routine_change,0,,1,161,-0.02548100712469996,0.04038151755920478,1.091741030777636,0.5088048872158454,0.36285002019573015,0.3234660536039364,0.2794518655567706
Marta,0,nn_adaptive,model_mismatch,0,,1,161,-0.03814077776347684,0.03089493494700461,0.9161946017994002,0.4991668281184735,0.3520094937395381,0.28191680238339656,0.3287082481092734
Marta,1,nn_adaptive,model_mismatch,0,,1,161,-0.01636589739248216,0.05149666142949188,1.0092771720014069,0.5170144226097568,0.2768175945664068,0.31295288259906534,0.2975144199899912
Marta,2,nn_adaptive,model_mismatch,0,,1,161,-0.01720704368590738,0.02835416469673644,1.0101084359492742,0.5104583404899597,0.4186904778161562,0.2584915253299859,0.278901890170338
Diego,0,flat,stable,1,22,0,,0.05562096129108807,0.08648277131445639,1.0921452853820002,0.9505153637502235,nan,nan,nan
Diego,1,flat,stable,0,,1,161,-0.20952660071770426,0.01397188376862557,1.0386005256241786,0.5608191308675934,nan,nan,nan
Diego,2,flat,stable,0,,1,161,-0.15839998106354305,0.09474976278523403,0.9363117870722435,0.521741974703653,nan,nan,nan
Diego,0,flat,routine_change,1,22,0,,0.05562096129108807,0.08648277131445639,1.0921452853820002,0.9505153637502235,nan,nan,nan
Diego,1,flat,routine_change,1,56,0,,-0.04048219687144668,0.01397188376862557,1.0222352859810497,0.6749022651968918,nan,nan,nan
Diego,2,flat,routine_change,0,,1,161,-0.16055020490818778,0.09474976278523403,0.9711660329531053,0.532764677718713,nan,nan,nan
Diego,0,flat,model_mismatch,1,68,0,,0.03778903140220167,0.1146869641872511,1.0798294268503608,0.6544079713591228,nan,nan,nan
Diego,1,flat,model_mismatch,0,,1,161,-0.14082167867555104,0.07571852477675488,1.0229207596594632,0.5536490612502312,nan,nan,nan
Diego,2,flat,model_mismatch,1,177,0,161,-0.05624507617235776,0.13171651787137492,0.9464285714285714,0.5276123335574736,nan,nan,nan
Diego,0,codex_rules,stable,0,,1,161,-0.2506519395773691,0.09718409715386919,1.0584705075445817,0.17654699554813438,nan,nan,nan
Diego,1,codex_rules,stable,1,1,0,,0.08607837875623117,0.08607837875623117,1.1176084099868593,0.3246169886763201,nan,nan,nan
Diego,2,codex_rules,stable,1,84,0,,-0.13164479019190112,0.10199476010504226,0.9394803548795946,0.15967245073159922,nan,nan,nan
Diego,0,codex_rules,routine_change,0,,1,161,-0.24988041746065034,0.09718409715386919,1.0804183813443071,0.17845409222896894,nan,nan,nan
Diego,1,codex_rules,routine_change,1,1,0,,0.08607837875623117,0.08607837875623117,1.1176084099868593,0.3246169886763201,nan,nan,nan
Diego,2,codex_rules,routine_change,0,,1,161,-0.2570780862295425,0.10199476010504226,0.9459759188846641,0.16004971053872408,nan,nan,nan
Diego,0,codex_rules,model_mismatch,1,5,0,,0.1453345219461893,0.1453345219461893,1.087448559670782,0.33042920309189305,nan,nan,nan
Diego,1,codex_rules,model_mismatch,0,,1,161,-0.22165711706042862,0.12673270783946683,0.9852652259332024,0.1634798009411605,nan,nan,nan
Diego,2,codex_rules,model_mismatch,0,,1,161,-0.1811823862304971,0.18519971293367737,0.9464285714285714,0.16087596314524358,nan,nan,nan
Diego,0,habit_only,stable,0,,1,161,-0.1708907481396393,0.04472969175604583,1.0632716049382716,0.47974652793322425,nan,nan,nan
Diego,1,habit_only,stable,1,46,0,,-0.04610890653450662,-0.010810160104461406,1.0107501328039812,0.5983216630947656,nan,nan,nan
Diego,2,habit_only,stable,0,,1,161,-0.17046820148886252,0.06788057912004267,0.9331432192648923,0.46814678266436593,nan,nan,nan
Diego,0,habit_only,routine_change,0,,1,161,-0.1735359690310342,0.04472969175604583,1.0737311385459534,0.4803035606848336,nan,nan,nan
Diego,1,habit_only,routine_change,1,46,0,,-0.04610890653450662,-0.010810160104461406,1.0107501328039812,0.5983216630947656,nan,nan,nan
Diego,2,habit_only,routine_change,0,,1,161,-0.16974117531154878,0.06788057912004267,0.9424904942965779,0.4694552189914499,nan,nan,nan
Diego,0,habit_only,model_mismatch,0,,1,161,-0.13029761133704867,0.06141489535943058,1.0840192043895747,0.4822899324544453,nan,nan,nan
Diego,1,habit_only,model_mismatch,0,,1,161,-0.15232461911930223,0.045704092396419815,1.034053700065488,0.4630160108644001,nan,nan,nan
